name,type,ymax,ymin,K,n
Ab_1,OR,5.7,0.1,0.09394,2.5
Ab_2,OR,0.75,0.23,0.05368,3.4
Lac_I,OR,0.75,0.05,0.2013,1.3
Tet_IR,OR,1.2,0.009,0.34892,0.9
Pho_34,OR,5.7,0.02,0.55022,5.3
P2_Star,OR,5.7,0.52,0.12078,3.8
Example1,OR,3.75,0.64,0.25498,4.1
Example2,OR,3.3,0.098,0.1342,1.6
Laeic_R,OR,6.45,0.012,0.0671,2.6
S2w_tet,OR,3.3,0.6,0.24156,2.1
S2R_Spry,OR,5.85,0.23,0.04026,3.8
SC3_Dens,OR,6.15,0.43,0.17446,4.5
SV3_More,OR,10.2,0.53,0.30866,5.1
Per_Shin,OR,3.6,0.22,0.0671,2.3
Ver_Valdi,OR,4.2,0.1,0.28182,5.4
AW21_Viezo,OR,8.85,0.034,0.25498,3.2
Lok_092,OR,1.95,0.045,0.01342,1.8
K2e_123,OR,3.15,0.003,0.05368,1.5
Few_253,OR,3.15,0.12,0.08052,2.6
Ew1_done,OR,3.15,0.43,0.1342,2.4
